Id,MSSubClass,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,Neighborhood
1,60,65,8450,2Story,7,5,2003,196,Gd,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,208500,CollgCr
2,20,80,9600,1Story,6,8,1976,0,TA,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,0,0,5,2007,181500,Veenker
3,60,68,11250,2Story,7,5,2001,162,Gd,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,9,2008,223500,CollgCr
4,70,60,9550,2Story,7,5,1915,0,TA,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2,2006,140000,Crawfor
5,60,84,14260,2Story,8,5,2000,350,Gd,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,12,2008,250000,NoRidge
6,50,85,14115,1.5Fin,5,5,1993,0,TA,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,143000,Mitchel
7,20,75,10084,1Story,8,5,2004,186,Gd,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,0,0,8,2007,307000,Somerst
8,60,NA,10382,2Story,7,6,1973,240,TA,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,0,350,11,2009,200000,NWAmes
9,50,51,6120,1.5Fin,7,5,1931,0,TA,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,4,2008,129900,OldTown
10,190,50,7420,1.5Unf,5,6,1939,0,TA,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,0,0,1,2008,118000,BrkSide
11,20,70,11200,1Story,5,5,1965,0,TA,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965,1,384,0,0,0,0,0,0,0,2,2008,129500,Sawyer
12,60,85,11924,2Story,9,5,2005,286,Ex,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,0,0,7,2006,345000,NridgHt
13,20,NA,12968,1Story,5,6,1962,0,TA,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962,1,352,140,0,0,0,176,0,0,9,2008,144000,Sawyer
14,20,91,10652,1Story,7,5,2006,306,Gd,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006,3,840,160,33,0,0,0,0,0,8,2007,279500,CollgCr
15,20,NA,10920,1Story,6,5,1960,212,TA,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960,1,352,0,213,176,0,0,0,0,5,2008,157000,NAmes
16,45,51,6120,1.5Unf,7,8,1929,0,TA,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991,2,576,48,112,0,0,0,0,0,7,2007,132000,BrkSide
